lat,lon,time,mss,surface type,range,altitude,geophysical quality flag,pass number,day,month,year
47.97685623168945,47.87140655517578,524148160.0,-10.807700157165527,3.0,2147483648.0,1348767.75,127.0,167.0,10,8,2016
47.93357467651367,47.91608428955078,524148160.0,-10.872200012207031,3.0,1348771.125,1348754.125,127.0,167.0,10,8,2016
47.8902702331543,47.96067810058594,524148160.0,-10.855600357055664,3.0,2147483648.0,1348740.375,127.0,167.0,10,8,2016
47.846946716308594,48.005191802978516,524148160.0,-10.825799942016602,3.0,2147483648.0,1348726.625,127.0,167.0,10,8,2016
47.80360412597656,48.04962158203125,524148160.0,-10.791899681091309,3.0,2147483648.0,1348712.875,127.0,167.0,10,8,2016
47.76023864746094,48.09397506713867,524148160.0,-10.753399848937988,3.0,2147483648.0,1348699.25,127.0,167.0,10,8,2016
47.71685028076172,48.13824462890625,524148160.0,-10.652099609375,3.0,2147483648.0,1348685.5,127.0,167.0,10,8,2016
47.67344284057617,48.182437896728516,524148160.0,-10.514900207519531,3.0,1348694.625,1348671.75,127.0,167.0,10,8,2016
47.6300163269043,48.22654724121094,524148192.0,-10.397700309753418,3.0,1348681.125,1348658.0,127.0,167.0,10,8,2016
47.58656692504883,48.27057647705078,524148192.0,-10.291799545288086,3.0,2147483648.0,1348644.125,127.0,167.0,10,8,2016
47.54309844970703,48.31452941894531,524148192.0,-10.245699882507324,3.0,2147483648.0,1348630.375,127.0,167.0,10,8,2016
47.49960708618164,48.3583984375,524148192.0,-10.166500091552734,3.0,2147483648.0,1348616.625,127.0,167.0,10,8,2016
47.45609664916992,48.402191162109375,524148192.0,-10.064000129699707,3.0,2147483648.0,1348602.875,127.0,167.0,10,8,2016
47.41256332397461,48.44590377807617,524148192.0,-9.907500267028809,3.0,2147483648.0,1348589.0,127.0,167.0,10,8,2016
47.369014739990234,48.48953628540039,524148192.0,-9.826800346374512,3.0,2147483648.0,1348575.25,127.0,167.0,10,8,2016
47.325443267822266,48.5330924987793,524148192.0,-9.788000106811523,3.0,2147483648.0,1348561.5,127.0,167.0,10,8,2016
47.2818489074707,48.576568603515625,524148192.0,-9.80270004272461,3.0,2147483648.0,1348547.625,127.0,167.0,10,8,2016
47.23823928833008,48.61996841430664,524148192.0,-9.799300193786621,3.0,2147483648.0,1348533.75,127.0,167.0,10,8,2016
47.19460678100586,48.66328811645508,524148192.0,-9.718999862670898,3.0,2147483648.0,1348520.0,127.0,167.0,10,8,2016
47.15095138549805,48.7065315246582,524148192.0,-9.684200286865234,3.0,2147483648.0,1348506.125,127.0,167.0,10,8,2016
47.10728073120117,48.74969482421875,524148192.0,-9.680899620056152,3.0,2147483648.0,1348492.25,127.0,167.0,10,8,2016
47.0635871887207,48.792781829833984,524148192.0,-9.729399681091309,3.0,2147483648.0,1348478.5,127.0,167.0,10,8,2016
47.019874572753906,48.835792541503906,524148192.0,-9.826700210571289,3.0,1348490.75,1348464.625,127.0,167.0,10,8,2016
46.97614288330078,48.878726959228516,524148192.0,-9.860199928283691,3.0,1348477.5,1348450.75,127.0,167.0,10,8,2016
46.93239212036133,48.92158508300781,524148192.0,-9.786199569702148,3.0,2147483648.0,1348436.875,127.0,167.0,10,8,2016
46.88862228393555,48.96436309814453,524148192.0,-9.762900352478027,3.0,2147483648.0,1348423.0,127.0,167.0,10,8,2016
46.84482955932617,49.0070686340332,524148192.0,-9.808500289916992,3.0,2147483648.0,1348409.125,127.0,167.0,10,8,2016
46.80101776123047,49.0496940612793,524148192.0,-9.84220027923584,3.0,2147483648.0,1348395.25,127.0,167.0,10,8,2016
46.7571907043457,49.092247009277344,524148192.0,-9.846599578857422,3.0,2147483648.0,1348381.25,127.0,167.0,10,8,2016
46.713340759277344,49.13472366333008,524148192.0,-9.809200286865234,3.0,2147483648.0,1348367.375,127.0,167.0,10,8,2016
46.669471740722656,49.1771240234375,524148192.0,-9.87440013885498,3.0,1348393.625,1348353.5,127.0,167.0,10,8,2016
46.62558364868164,49.21944808959961,524148192.0,-10.201800346374512,3.0,2147483648.0,1348339.625,127.0,167.0,10,8,2016
46.5816764831543,49.26169967651367,524148192.0,-10.780400276184082,3.0,2147483648.0,1348325.625,127.0,167.0,10,8,2016
46.53774642944336,49.303871154785156,524148192.0,-12.505999565124512,3.0,2147483648.0,1348311.75,127.0,167.0,10,8,2016
46.49380111694336,49.34597396850586,524148192.0,-14.40999984741211,3.0,2147483648.0,1348297.75,127.0,167.0,10,8,2016
46.44983673095703,49.38800048828125,524148192.0,-17.776399612426758,1.0,2147483648.0,1348283.875,127.0,167.0,10,8,2016
46.405853271484375,49.42995071411133,524148192.0,-21.799100875854492,1.0,2147483648.0,1348269.875,127.0,167.0,10,8,2016
46.36185073852539,49.47182846069336,524148192.0,-25.270599365234375,1.0,2147483648.0,1348256.0,127.0,167.0,10,8,2016
46.31782531738281,49.51362991333008,524148192.0,-28.76740074157715,1.0,2147483648.0,1348242.0,127.0,167.0,10,8,2016
46.27378845214844,49.555362701416016,524148224.0,-31.603200912475586,1.0,2147483648.0,1348228.0,127.0,167.0,10,8,2016
46.22972869873047,49.59701919555664,524148224.0,-33.9109992980957,1.0,2147483648.0,1348214.0,127.0,167.0,10,8,2016
46.18564987182617,49.63859939575195,524148224.0,-34.91740036010742,1.0,2147483648.0,1348200.125,127.0,167.0,10,8,2016
46.14155197143555,49.680110931396484,524148224.0,-35.32699966430664,1.0,2147483648.0,1348186.125,127.0,167.0,10,8,2016
