lat,lon,time,mss,surface type,range,altitude,geophysical quality flag,pass number,day,month,year
45.12514114379883,47.7830810546875,701231232.0,-33.006099700927734,2.0,1348420.25,1348377.125,0.0,92.0,22,3,2022
45.08143997192383,47.82217025756836,701231232.0,-33.24420166015625,2.0,1348401.25,1348363.5,0.0,92.0,22,3,2022
45.0377197265625,47.86119079589844,701231232.0,-33.437198638916016,2.0,1348387.875,1348349.875,0.0,92.0,22,3,2022
44.99398422241211,47.900150299072266,701231232.0,-33.62099838256836,2.0,1348374.375,1348336.25,0.0,92.0,22,3,2022
44.950233459472656,47.93904113769531,701231232.0,-33.79840087890625,2.0,1348361.0,1348322.625,0.0,92.0,22,3,2022
44.90646743774414,47.977867126464844,701231232.0,-33.997398376464844,2.0,1348347.5,1348309.0,0.0,92.0,22,3,2022
44.8626823425293,48.01662826538086,701231232.0,-34.17110061645508,2.0,1348334.0,1348295.375,0.0,92.0,22,3,2022
44.81888198852539,48.05532455444336,701231232.0,-34.36240005493164,2.0,1348320.5,1348281.75,0.0,92.0,22,3,2022
44.77506637573242,48.09395217895508,701231232.0,-34.542598724365234,2.0,1348307.125,1348268.0,0.0,92.0,22,3,2022
44.731231689453125,48.13251876831055,701231232.0,-34.714500427246094,2.0,1348293.625,1348254.375,0.0,92.0,22,3,2022
44.687381744384766,48.1710205078125,701231232.0,-34.895198822021484,2.0,1348280.125,1348240.75,0.0,92.0,22,3,2022
44.643516540527344,48.2094612121582,701231232.0,-35.059898376464844,2.0,1348266.625,1348227.125,0.0,92.0,22,3,2022
44.599632263183594,48.247833251953125,701231232.0,-35.21910095214844,2.0,1348253.125,1348213.375,0.0,92.0,22,3,2022
44.55573654174805,48.2861442565918,701231232.0,-35.37229919433594,2.0,1348239.625,1348199.75,0.0,92.0,22,3,2022
44.51182174682617,48.32439041137695,701231232.0,-35.5093994140625,2.0,1348226.0,1348186.125,0.0,92.0,22,3,2022
44.467891693115234,48.362571716308594,701231232.0,-35.632999420166016,2.0,1348212.5,1348172.375,0.0,92.0,22,3,2022
44.42394256591797,48.400691986083984,701231232.0,-35.762298583984375,2.0,1348198.875,1348158.75,0.0,92.0,22,3,2022
44.379981994628906,48.43874740600586,701231232.0,-35.832298278808594,2.0,1348185.25,1348145.0,0.0,92.0,22,3,2022
44.336002349853516,48.476741790771484,701231232.0,-35.93669891357422,2.0,1348171.625,1348131.375,0.0,92.0,22,3,2022
44.29200744628906,48.514671325683594,701231232.0,-35.97999954223633,2.0,1348158.0,1348117.625,0.0,92.0,22,3,2022
44.24799728393555,48.55253601074219,701231232.0,-36.05070114135742,2.0,1348144.375,1348103.875,0.0,92.0,22,3,2022
44.20397186279297,48.59033966064453,701231232.0,-36.07699966430664,2.0,1348130.625,1348090.25,0.0,92.0,22,3,2022
44.15993118286133,48.628082275390625,701231232.0,-36.118900299072266,2.0,1348117.0,1348076.5,0.0,92.0,22,3,2022
44.11587142944336,48.66576385498047,701231232.0,-36.15610122680664,2.0,1348103.25,1348062.75,0.0,92.0,22,3,2022
44.071800231933594,48.7033805847168,701231232.0,-36.19260025024414,2.0,1348089.625,1348049.125,0.0,92.0,22,3,2022
44.0277099609375,48.740936279296875,701231232.0,-36.23619842529297,2.0,1348075.875,1348035.375,0.0,92.0,22,3,2022
43.983604431152344,48.7784309387207,701231232.0,-36.28269958496094,2.0,1348062.25,1348021.625,0.0,92.0,22,3,2022
43.93948745727539,48.81586456298828,701231232.0,-36.31570053100586,2.0,1348048.5,1348007.875,0.0,92.0,22,3,2022
43.89535140991211,48.85323715209961,701231232.0,-36.34700012207031,2.0,1348034.875,1347994.25,0.0,92.0,22,3,2022
43.851200103759766,48.89054489135742,701231232.0,-36.3739013671875,2.0,1348021.125,1347980.5,0.0,92.0,22,3,2022
43.80703353881836,48.92779541015625,701231232.0,-36.386199951171875,2.0,1348007.375,1347966.75,0.0,92.0,22,3,2022
43.76285171508789,48.96498489379883,701231232.0,-36.400299072265625,2.0,1347993.625,1347953.0,0.0,92.0,22,3,2022
43.71865463256836,49.00210952758789,701231232.0,-36.39970016479492,2.0,1347979.875,1347939.25,0.0,92.0,22,3,2022
43.674442291259766,49.03917694091797,701231232.0,-36.41230010986328,2.0,1347966.125,1347925.5,0.0,92.0,22,3,2022
43.63021469116211,49.0761833190918,701231232.0,-36.415199279785156,2.0,1347952.375,1347911.75,0.0,92.0,22,3,2022
43.58597183227539,49.11313247680664,701231232.0,-36.411399841308594,2.0,1347938.625,1347898.0,0.0,92.0,22,3,2022
43.54171371459961,49.15001678466797,701231232.0,-36.402198791503906,2.0,1347924.875,1347884.25,0.0,92.0,22,3,2022
43.497440338134766,49.18684387207031,701231232.0,-36.38370132446289,2.0,1347911.125,1347870.5,0.0,92.0,22,3,2022
43.453155517578125,49.223609924316406,701231232.0,-36.36180114746094,2.0,1347897.375,1347856.75,0.0,92.0,22,3,2022
